                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9436,                 6.3735,                      0,                0.50311,                0.37398,                 0.3876,                 0.2045,                 3.8699,                 3.8461,                      0,              0.0033328,              0.0033328,              0.0033328
                      2,                 3.7522,                 3.5493,                      0,                0.66862,                0.48307,                0.54859,                0.31962,                 3.3045,                 3.0129,                      0,              0.0066001,              0.0066001,              0.0066001
                      3,                 3.4855,                 3.1858,                      0,                0.71867,                0.52395,                0.60659,                0.37083,                 3.0862,                 2.6859,                      0,              0.0098015,              0.0098015,              0.0098015
                      4,                 3.3137,                 2.9548,                      0,                0.75331,                0.55949,                0.65008,                 0.4094,                 2.9196,                 2.4524,                      0,               0.009703,               0.009703,               0.009703
                      5,                 3.1688,                 2.7534,                      0,                0.77173,                0.57813,                0.67339,                 0.4315,                 2.8135,                 2.3257,                      0,               0.009604,               0.009604,               0.009604
                      6,                 3.0876,                 2.6442,                      0,                0.78214,                0.58591,                0.68523,                0.44568,                 2.7435,                 2.2517,                      0,               0.009505,               0.009505,               0.009505
                      7,                 3.0333,                 2.5722,                      0,                0.78858,                 0.5944,                0.69516,                0.45433,                 2.7048,                 2.1961,                      0,               0.009406,               0.009406,               0.009406
                      8,                 2.9876,                 2.5123,                      0,                0.79602,                0.60035,                0.70135,                0.46123,                 2.6711,                 2.1587,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.9573,                 2.4691,                      0,                 0.7975,                0.60394,                0.70539,                0.46538,                 2.6489,                 2.1395,                      0,               0.009208,               0.009208,               0.009208
                     10,                 2.9325,                 2.4429,                      0,                0.80104,                0.60498,                0.70793,                0.46859,                 2.6329,                 2.1237,                      0,               0.009109,               0.009109,               0.009109
                     11,                 2.9148,                 2.4119,                      0,                0.80287,                0.60556,                0.70972,                 0.4713,                 2.6192,                 2.1104,                      0,                0.00901,                0.00901,                0.00901
                     12,                 2.8989,                 2.3959,                      0,                0.80094,                0.60715,                0.71106,                 0.4727,                 2.6077,                 2.1042,                      0,               0.008911,               0.008911,               0.008911
